board,winner
XOOOOXOXOOOXO XXOXOOXOXXXXXOOXOOO XOXOOOX X  OOXXXOOOOXO OOXXOXX OOXOOOOXXOXOOOOXOXOXXXXOXXOXXXOOOOOXX  XOXX XXXOOXOXXOOOO X XXOO O OOO XXXXOOXOXXXXXXXXOOX XOXXXXOXOXOOX,1
XOXXO OOOOXXO OXOXO  XXOXXXXO XO OXO OOXXX OXOOOXOXXXXXXXXOXOOOOOOOXXOOXOXOOXXOXOXXOXX OXOOX OOOOXXXXOOXOOOXXOX OOOXOOXOOXXOOXOO  XXXOXXOOXOXOXXOXOXXXXXXXOOOXOXXOO OX OX,0
OOOX OX XOX OOOOOOO X XOXXXOXXXOXXXOOO OOOX XXXXXOXXOXOXOOXOXOXXOO XXXOXXXOO OO XOOXXOXX OOOXXOXOOXOXXOXOOXXOOOXXXOXXXXXXXOXXO OOO XOOXOOOXOOXXOXXXXXOOXOOXOOOOXOX OXOXOX,1
OOOX XXO XOXOXXOOOXX X  OOO XOOX X XXXXXXOXOOOXOXOOXOOOXOXOXOOOXX X OOXXOO OOXXXXOOOXOXXOXOO XO XXXOO OXOXXOXOXOOXXXOXOXOXX OXOOXOXO OXXXOXOOXXX OXXOOXX OXOOOOXXXXOOXXOO,1
XOOOXXOXOOOO XXOOOXOXOOXOOOXXO OX XXXOOXOXO OXXOOXXOXOXOOOOXOOOXX XOOXO XXXXOOOXX OXXOOXOXOXXOXXXXOXXXXXXOXOOXOOXXOXOO OOXXXOOXXXXOXOOOOXOXOXOO OOO OXXXXO XXXX XXOOOXOXX,1
XOOXOXXOXOOXO OOXOOXXOXXXOOXXOXXOOOXOOXXXXXX XOXOX XOOOOOXXOOXXXXXOXOOOOXXOOOOOOX OXOOXOXOOXXXXOOXOXOOXOO XX XOXXOOXXXXOXXOXXOOOOOXOXOXOO XXXXXOXOXXOOOO OXXXXOOXOXOOO XX,0
XOO OXO XOO XOXOXXX XOOOOXX XOXOOOOOOXX XOXOOXXX  XXOXO XXX XXXOOOOXXOXOOXXOX XXXXXOOOOOXX OOOOX XXOOXOOOOOOXXOXOXOXOOOOXXXXOXXOOXXOOXXOXOXOXOOOOOXOOXX OXXX OO XOXOXXXXX,1
XOXOOXXOXX OX O X O XOXXOX O XOOX  XOXO OO OOXXO  XOOX  OOXX  OXXOOOXOXOXXO O O OXXXXOOO O  O OXOXXXOOXOX O XO OOOX  X OXXOOXOOOOOO X XX OO XXX XXOXX OOXXXXXXXXO OXX XXO,1
XOOXOXXOXXOOXXOXOXO OOXOXXOXOOXOOOOXXXOOOXOOOXOOOXXXOXOXXOXOOXOOXOXXXOXOOOXXOOXOOXXXOOXXXOXOOXXXXXOXOOOXOXOOXXXOXOOOOOOXXXXXOOXXXOOOXOOOOOXOOOOXOXXXXXXXXXOXXXXOOXXOXXXOO,0
OXXOXOOOX OXOOXXOOOXXXOXOOOXOXOXXXOXO OOOOOXX XOXXOOOXOXXOOXXXXOOOOXOOOXOOXOXXOOO OXXOOOOOOOOXOXOXXXXXXXOOOXXXX OOOXXXXOXOOXOXXOOOXXXXOXXXXXXOOXXXOOXOXXXXXOOXXO XXOOXXOO,1
XOXO XXOXXXOXOOO X OXOO OOOOOXOXXXXOOXXOXXOXOXX XOOXXXXXOOO OXXOOOXXOX O OX XOXXOXX OXOOOOXOOXXOOOX OXXOXXOX OOXX XOO OOXO OOX X OXOOXXOXXOOOOOXXXXOOXXOXOXXXXXXOOOOXXOXO,0
OXOXOXXXXXXXXXOXOXOXXOOOOO OXOOXOXXOOOOXOXXOXOOOXOXOOXOXXOOXXO XOOOOOOOXXXOXOXXXXXXXOXOXXXOOOOOXXXXXOOOOOXOOOXXXXOXOXOOOOXOXXOXXXXXOOOOXXOOOOXOXOXX XXXOXOOXXOOOXXOXXOXOO,0
XOO  OOX  XXOXXX XXXO OXO  OX XXOXOX  OX X XXO  XXXXO OOXXOO OO   X OXOXO   XOOXXX XOOOO  O XOX  O OX    XXX OOOX O  X XX  X X OO   XOXOOOOOXO  OXO XOXOOX OXOXO X OXOO X,1
