board,winner
OOO XO  O   XXOXXOXO XXO X XO OX OX  O OXX OXOOO  XO  XO XX  O OXX  OX XX OO OXXX,1
XXXOOXOXXOOOOOXOOOXXOOXXOXXOXXOXXXXOXOXXXXOXOOOOXOOXXXXXOXOOOO XXOXOXXOOXOOOXXOOO,0
OXXOXXXOXXXXXXXXXOOXOOXXXOXOOXOXXXOOXO OOOOOXXXXOXOXOOXOOOXOOOXOOXOXXOXO OOO OOXX,0
OX XX X OOOO OXOOXXOOOOOOOXOOOXXX OXXXOOXOXOXXXXOXOOOXXOXXOOXXXXXXXOOOOXOOXXOXOXX,0
XOXX OXO  OOOOOXXO XXOX XOXOXOXXXOX OOXOOXOXOOOX X XXOXO XXOXOOXOXO X  OOOX XXOX ,1
XXO  XOOXXXX XX X   O XX   OXXX    OXXOO XXOXOOOOOOOXOOXOXOOX OOX OOO XXO  XOXOOX,0
XO OOOXOOX  XOXOXOXX XOXXO OXXOXOXOXOXOO OOOXXOOOOXXOOX OXOOXXXXOOOO OXXXXXXXOXXX,1
 XOXOO OOOOXXOOOOXOXX  OXOO OXXXOOXXXXO XXO  OXX X  OX  XXXXOOXXOOOOXOOOXXXOXX   ,1
 XOXO XOOXXXXXOXOOOOOXXXXOOO OXXOXOXOXOXXXOOXXOXOXOOOXO XOOXXXOXOOXOXXOOOOO XXOXX,0
OOOO XOXOXOX OXOX  XXOXX  XXOOXXOXOOOX OXXO X OO OX X O  OXOOX OXXX  XXXX OXOXOOO,1
X O OO OO X OXOO OOXXOXX XOXXX OXOOXOX X O O OOOXOXXXOO OOXXX XOOXOO XXXOXXXXOOXX,0
OXOOOOXXOOXXXXOX OXX XXXOOXOXOOXXXOOOOXXXXOOXXOXOXOOOXXOXXXXOXXXOOXOXXOOOOOXOOOXO,1
XOOOOOOXXOOOXO OOOXXXX OXOOOXXOOXXXXXXXOOX XXOOXXXOOOXOXXXOXOXOXOXXXOXOOXOXOXOOOX,0
XXXXOXXOOOXXOOXXOOXOOXXOXXOOOOOXOXXXOXOXOOX OXXOOXOOOOXXOXXXOOX XXOXXOXOOOXX OXOO,0
XXXXX OOOOXOXOOXOO XO XXXXOXXOOXOOOOXXOOOOXOOOXXOXOOOOXXOX OXX XXXXOOX OOXOXXXXOX,1
XOXOOXOXOXX XXOXXOOXOXOOXXXOXXOXXOXOXOXOOOXOOX XXOXOOOXOXXOOOXOOXOOXXOXXXXXOOOO  ,1
XXOOXOX XOO OOOOXOOXOOXXXX  OO OOOXOXOOXOXOX  XOOOXX XOXXXOX O  XXX XOXO X X X XO,1
X O OX  O  OO O O   X X XO  X   XO    XOOOXXXX   OXO  OOOOXO OOXXXOXXXOXX     XXO,0
XX  X  OX   X  O OX  XOOOO  OXXOXXXX X OOOX X   OX X O   OXOO   OOOOXOXXOX  OXX O,0
OOOXOXXXXOOOXO  XOXXO XOXOOOXXXOOXXXOOOXOXOXXOOOXXXXXX XXOOXOO XOOOOXOXOX OOXXOXX,1
XXX  XXXXX OO OOOXXOOOOXOOOXOXOXO XXOO XO XOX OX OOOXXXX OXXX XX XOOOXOXOXOXOO OO,0
XXXOOOOXXOXOXOOOOOOXXOOXOOXOXOOXOXOOXXXXXXXOOOOXOXOOOOOXXOXOXXXXXXXXXXXOOXOXOXXOO,1
OXOXOXO OXXXOXXXXOOXXX OOO OXXOOXXXXXOOO OOOOOXOXOOXOOXXXXXOXOXOXXXOOXOOXXO  O OX,0
XXXXXOXXXOXOXXXXXOOO   OXOOOXOXXX X OOXOX  OOOOOOOOOXXOXXOXOOX XXX OX O OOXOOOOXX,0
OXOXOO OOOXXXOXOOXOOOOXXXXOOXXOXXXOXXXXOOOOOOXX OXOOXOXXOXOOOXXOXOO XXXXOXOXXOXXO,0
OOOXXOXOXXO OOXXOOOOOXOOOOXOXXX XXXXXXXOXXXOXXOXOOOOOOXX XXOOOXOOOXXXXXOOXOOOXOXX,0
OOXX XOXXXXXXOOOOXXXOOOXXOOOXOOX OXX OOXX XOOOOXOXXOOXOOXOXXXXOOOXOOXXXOXOOXOOX X,0
XOXOXOXOOXOXOXOXOXXXXOXOXXXOOXXXOXOXOXOOOXOXXXOXXOXOOOXOOXXXOOXXOOOOXOOOOOXXXXOOX,1
OOOXOOXXOXOX XXOOOXXOOXOXXXXOOXXXOXOXOOXOX OOXOXXXOOOXXXXOOOOOXOXOXXXXXXOXXXOOOOO,1
  XXXXOOOXXOXOXOX    O OOOOOXOOXO XOOOOXXOOXOXOOXOOXXOXOOOXXOX XXXOXXX X O XOX XX,0
O OXOOXXOOXXOXO XOOX XOOXOOXXXXOXXXOXOOOOX O XXXXOXXOXXXXXOOXO XOXXOXOXOOOOOOO XO,0
 O OOX XO XXX OOXOO   OOOXOX OXO XXOOOX  OOX  OO O OXXXX XX XO XX X X    O  X  X ,1
