board,winner
OXOXXOOXX,1
XXOOOXX O,0
XOXXOXOOX,1
XXOXOOX  ,1
 X OXXXOO,1
 X  OOOXX,0
OXXOXOXXO,1
XOOO  X X,0
 XOXO X  ,1
X XXO XOO,1
  OOOXXX ,0
XOXOOXXXO,1
OXXOXOXXO,1
OOOXOXX X,0
XOOXXOX  ,1
OOXXXOOXX,1
XOOXOOXXX,1
 X OXO X ,1
XXOX OOOX,0
 OOOOXXXX,0
OOXXXXOXO,1
 XX XOXOO,1
OOXOXOXXX,1
OXX OX XO,1
  XXXOXOO,1
OX OXXXO ,1
XXXOO XOO,0
X OXOOXX ,1
XXOOXOOXX,1
OOXXXXOOX,1
OXXOXXOOX,1
OOXXXOXXO,1
OXOOXXX  ,1
XXOXX OOO,0
XXXOX OOO,0
XOOXO XX ,1
OXOXOXXXO,1
XOOX XXO ,1
XOOOO XXX,0
XXOOO XOX,0
OOO  XX X,0
OOOXXOXX ,0
X XOOOXOX,0
XOOXXOXOX,1
XX  XOOO ,0
XXXOXOOXO,1
OXOXOXO X,0
XOXOOOXX ,0
X X XOOXO,1
 XXXXOOOO,0
OXXO XO X,1
OOXOXOXXX,1
XX OX OXO,1
XOXXOXXOO,1
XOXOXXOXO,1
OOXXXXOOX,1
XXOXOOXXO,1
OXOXXXOOX,1
OOXXXOOXX,1
OOXO XXX ,1
O XO XOXX,1
 XX OXOXO,1
 OX OXXOX,1
X  XOOX  ,1
OXOXXOXOX,1
X OXOOX X,1
XXOOOOXX ,0
OXOXOXX  ,1
XOXOOXXXO,1
OXOXXXOXO,1
XXOXO XO ,1
X XXXOOOO,0
  XX OOOX,0
XOOXXXOOX,1
XXOXOOXXO,1
XOOXOXXXO,1
XOX XOXO ,1
 X OX XO ,1
 OX XXOXO,1
OOXXXOXOX,1
OOOXXOX X,0
X OX  XO ,1
XOXXXOOXO,1
XO XOOX X,1
OXO XO XX,1
XOOXXOOXX,1
XOOXXXOOX,1
XXOOXXXOO,1
XXXOXOOXO,1
XOOXXXXOO,1
XOXXOXOOX,1
XOXOOOX X,0
XOXOXXOOX,1
 XOOXX XO,1
XO XO X  ,1
 XXOXOOOX,0
OOOXXOXX ,0
X O OXO X,0
XOOXOXXXO,1
 XOOOXXXO,0
OXXX OXO ,1
 OXXXOXO ,1
OXOOXXXXO,1
OXXX XOOO,0
OXOOOX XX,0
 OX X XO ,1
XOXOXXOXO,1
OOXXXXXOO,1
XOXOXO X ,1
XOXOOXOXX,1
XOXOOXXOX,1
XOOXXXOOX,1
X OOO X X,0
XOOXXOOXX,1
OXOOXOXXX,1
O OOOXXXX,0
XOXOXOXXO,1
OOXXXOXOX,1
OXOXXXOXO,1
OXXXOOXOX,1
 XOXXO XO,1
XOXOOXOXX,1
XO X  X O,1
OXO XX OX,1
X  XOOXOX,1
O X XXOXO,1
OOOX XOXX,0
OOO XOXXX,0
  XXXOXOO,1
XOXXOOXOX,1
OOXXXXXOO,1
XOXOXXOOX,1
X  XO X O,1
XX  XOOO ,0
OXOXXXOXO,1
OX X  XO ,1
 XOX  X O,1
OXO X XOX,1
 XOOX X  ,1
XXOOOX XO,0
OX XO XOX,1
OOXXXXOXO,1
  XO XO X,1
XXXX OOOO,0
OXOOXXXXO,1
   OOOXXX,0
XOO OXOXX,0
OXOXXXOXO,1
OXXOOXOXX,1
XOX OX OX,1
XXOX OOOX,0
OX  XXXOO,1
XOOOX  X ,0
XOOXX  XO,1
OX  XOXXO,1
OOX XO XX,1
OOXXXOXXO,1
XOOXXXOXO,1
XXOXOXO O,0
XOXOXXOXO,1
XOOXXXOOX,1
XX OXOOOX,0
XO XOXXO ,1
XOXOX  XO,1
OOXXXOXXO,1
OOXXXOXOX,1
XXOXOXXOO,1
XOXXXOXOO,1
OX X OXXO,1
  XOOXOXX,1
XO XOXX O,1
XXO X OXO,1
OX XOOOXX,0
XX OOOXXO,0
XOOXXXOXO,1
X XXOOO  ,0
OXXX OOOX,0
OOO OXXXX,0
OX X OX  ,1
OOOX  X X,0
OOX XXOX ,1
 XXOOXXOO,0
OOO XX X ,0
XXXOOXOOX,1
O X  X XO,1
OXXOXOXOX,1
OOXXXXOOX,1
X XOXOXO ,1
XOXXXOOO ,0
OXOXXOOXX,1
 XOOO  XX,0
X OOOOXXX,0
OXXXOXXOO,1
 X  X XOO,1
OXXOXXOOX,1
O X X OX ,1
 X XO XO ,1
 XO XXOOX,1
OXXO X XO,1
XO X OX  ,1
O OXOXOXX,0
OXOOXX X ,1
OXOXXXOXO,1
 XOOOXXXO,0
OXOXOXXXO,1
X XXOXOOO,0
X OOOX X ,0
OXOOXOXXX,1
 X  XOOOX,0
OOXXOXXXO,1
OXXXOOO X,0
XOX OOOXX,0
X XXOOOXO,0
XOOXXXOXO,1
OOOXO XXX,0
XOOXXOOXX,1
OXOXXOXOX,1
