board,winner
XOOOOOXXOXOX XXXO XX X OO OXOOXO XOOXXXOOOXOXOO XOO XXXOOOOOOOXXXOXXOXXXOXOO XXXX,0
O XOOOXXO OXXOXOOXXOXO XXXXOXOXXXOOXO OOXOOXOXXXOOXXOOX X OOX XO  XXOXO XX  OOXOO,1
XXOOXXX X XXOXOXOOXXOOXOOOOOXXOXOOXXO XXXOOXXXOOXXOOXOOXOOXXOOOXXXOXOOOXOXOX OXXO,1
XXX OXXOOOXOOOO OXOXXXXXXXOXOXX OOOXXOXXOXOXOOXXXOO OOOXOOXXXOOOXXXXOOXOOOO XOX X,1
X OXO XXOOXOOXOXO OXO OX O XX OX     XXOX OOOOOXXXO  OXX OOXXX  XXO XOOOXOO  X XX,1
OX  O OXOXXO   X OOOOOXX   XXXX OOOO OX  X   O XXXX X   OXO XOO XX   OOXX  OXXOO ,1
XXXOOXXOXXXOOOXO OXOXOOXOOX XOXOO XXXXXOOXXOOOXO  XOOXXOXOOOO XXOXOOXOXOO XOOXXXX,0
XOOXXXXOOOXXXO XOXXXXOXXXXOX XXX  OOXOXOX OOOOXOXXOXX OXOOOXXO OXOXOXOOOOOXOOXOOO,0
X X  XOXO  XOOXXOOO XX O   XO XXO O XO  XX XO O OOXXOXXO XXX O O O  XOXXOOO  XXOO,1
OXXOXXXOOXOOXOO XXXX XXOXOXOOXXXXX XXXXOXOXOOOOOOOOOXOO OXOO OOOXXXXOXOOOXOXOXOXX,0
OOXOXOOOOXOXXXOXOOXOOOXOOXXXOXXOXXXXXXOO OXXOOXOXOXXOOOOOOXOXXXOXOOOXOXOXXOXOXXXX,0
XOXXOOOOOXXXXXXXXXXXXOXXOXOXXOXOXOXXOOOXOOOOXXOOXOOOXXXOXOOOOXOOXOOOXOOOXOOXXXXXO,1
X X XOXXOXO OX  XX XX OO  XOXX OOOXX XXOOXOX O OXOOXOO OOOXXOOOXXXOXOXOOOXOXX    ,1
OOOOOXOOOXXOOXOOOXXXOOXO XOXXOXXXOOXOXOOOXXXXXOX XXXXXXOXXOXXOOOOXXXOOXOXOOXOOOXX,1
 XOXO XXXXOOOOOXX X OOXXX OXXXO XOOO  OXOX   OOX OXOOXOXOXXXOOX  XXXOOOXXOXOXXOOO,1
XOXXXXXOXOOX XOXXXOOXOOOOOOXXOXOXXOXOXXOXXOOXXOOXOXOXXOOOXOOOXXXXXOOOXOOXOOXOXOXO,0
