board,winner
XXXOXOXOOOOXXOOXOXXOXOOXX,1
XXOOXXOXOOXXOXXOXXOXOOOOX,1
XOXXOOXXOOOOXXXXOXXOOXOOX,1
O XOOXOOX O XO XOOXXXXX O,0
  X   OX   XOO  XX   XOO ,1
OOO XXX O XXXXXXXOOOOOO  ,0
XO XOOOOXX XO XOXOXOX OXX,1
XXOOXOXXOOOOXXXXXXOXXOOOO,1
X XO   XXO  OX O OX   OX ,1
OXOOOXXOXOOXXOXXOXXXXOOXO,1
OXOX XOXXOX OOXXOXOXXOOOX,1
  O XXXOXO OX XOXOOO XOXX,1
OOXX XOXXX OXOX XOXXOOOOO,0
O OX OOXXXOOXOO XXXXO OXX,1
XXOXXOXOXOOXOXXXO OXO OXO,1
OXXOOXOOXXOXX  X OOX  OOX,0
OXX OOOXOX X XXXOOOXXOXO ,1
OXOOOXOOXXXXXO XOXXXXOOO ,1
OOOOXOOXOOOOOXXXX XXXXOXX,0
O XOXOX XXOO X   XOXXXOOO,1
 XX OOXOOXOXOXO XXXXOXO O,1
XX X OOOOOX XXXOOX OOOXX ,0
OX  X  XOXOOXXXO XOXOXOO ,1
OOOOOO XXOXXXXOXOXXOXOXXO,0
OXOXXXXO OX  O OOOXOXOX X,0
OOOOXX XXOXOOO OX XXO XX ,0
O  XXXOXOO XX OX  OOX X O,1
OOOOXXOOXXXXXXXXXOOOXXOOO,1
XXOOOOOXXXXXOXOOXXO XOOXO,0
OOXOOXOXXOOXOOXOXOXXXOXXX,1
XO   XXXOOOXXXXOOXOO X O ,1
XOOOXOOXOXXXX XXO XXOOXOO,1
XO O XX OX XXOXX  OOX OO ,1
XX OX  OX OO OOXOOX   XX ,0
XOXO  X XOX XOXOOOX O OX ,0
OXXX XOOXOXOOOXOOXOXXXOOX,0
XXOXXXOXOXXOOXOXOOXOOOXOX,1
OXX OOXXOXXOOXOO XOX OXOX,0
OXXXXOXOXX XOXOOOOXOOXOOX,0
 OXXXXXXOOOXOXOXXOOXOOOXO,0
OXOOOXXXOOOOXXXOXOXOXXXXO,1
OXXOXXOXXXOOXOXXXOXOOXOOO,1
XO OXXXOXOXOXOXOOXXXXOOOO,0
XXOXOXXOOOXOXOXOOXXO XOOX,0
OXOOXXXOXOO XXOXXOO XOXXO,1
  OX  OOOOOX   X OOX XXXX,0
OOOXOXXXXOOOXOXXOOXX XOOX,0
 OO XXO XOXO X OXXO OX  X,1
OX O XXXXO OOXX  X   OXOO,1
XOO OXOOOOOXXX X O XXXX O,0
OXXXOXOXXOXOXXOOXOXOXOOOX,1
OOOOOXXOXXO XO XO XOXOXXX,0
XOXOXOXXOOOXOXXXXOXOOXOXO,1
X XXXXOOOXOOOOXOXXXXO XOO,1
XXOOXXXXOXOX XOOO O XOOOX,0
XOXO  X OOXXXX  OOXX OXOO,1
X OOOXXOOXXXOOOOXXOXXO XX,1
  XXOO OXXOXOXOXX XXOOOXO,1
  O X XOOOXO  OOX  X  XX ,0
XOO XXXOXXOXXXOOOOXOXOOOX,0
OXXX OOXXOXXOXOO OXOOXOXX,1
OXOXXXX XOOXOXXXOOOXXOOO ,1
XXOXXOXOOXXOXOOOOXXXXOO O,0
XOXOOX XOXOXOOXXOOXOOXXXO,0
XOX OXO  XXO  OXOXXOXOOX ,1
 XO XXXO O XOOX OOOXO X X,0
 OOOOOXXXOXOXX O XX O   X,0
OOXOX OOXOXXXOXX  XOX OOX,1
XOXXOXOOXOXXOXOOXXXOOXOOX,1
XXOXXOXOXOXXOXOXOXOOXOOOX,1
XXXXXOOOOOOXXOXX  OXO OOX,0
OXXOX XOXOOOXXXXOOOOXOOXX,0
 O  X OOOX  XX  OXO XX OX,1
XOOOXOOXXOXOXOXXXOOXOOX X,0
OOOXOXOXXXXXOOXXXOOXOOXOX,1
OXOXXOXOOOXO XXXOXOXOOXOX,0
XOOXXOXXOOXOOXXXOXOOXXXOO,1
OOOXOXXOXOXX XOX XXXOOOXO,1
OXXO  X O  XOOO XX   OX X,1
OOOOXXXOOOXXXXXOOX OOXXXO,0
O OXOX  XOXOX  XOX OOXXOX,1
XXOXXOOXXX OOOXOOOXXXXOOO,0
OOOOXXOXXOXXOOXXXXOXOOO X,0
 X O  OOX O OXXXXOOOXX   ,0
XO XOOOXXXOOOXOOXOXXXOXX ,1
  X OOX OXX    X X  X OOO,1
X  X  XXOX    XOOOOOO OXX,0
XXXXOOOXXOXOOXXOXXOXOOOOX,1
XOXX  X O  XO  OX OOOX X ,1
OXX X OXXOOXOO X OO XXX O,1
XXXXOO XXXOOXOXOXOXOOOOOX,0
 X X XOOOXO XOO   X O XOX,0
 XOXXOOXOOOOOXXX XOX XO  ,0
XXX XOOOOXOOXXO OXOXXOO X,0
OXOXXOOXXOXOXOXXOOXX XOOO,0
O OOOOXOXXXOXXXXOXXOOOXXO,0
XOX XOXOXXXOXOOOXOXXXO OO,1
 X XX XOX OOXXOX XXOOOOOO,0
O XXXOXXOOX XX OOOXXOO XO,1
XO XX X XOOOX XOOXXO OOX ,1
XOXOXOXXOXOOXOOXOO XOXOXX,0
XOOOOOXOXXOXXOXXOXX OXOXO,0
 OXO  XO  XXX O  XO  XO  ,1
OOXXXXXOOOOXXXXOXXXOOOOXO,1
XXOXO OOXXXXOX XX OOOOOOX,0
XXX  OOXOOXOOX XXOOOOXXXO,0
XOOOX XXXXOOXOX XXXOOOOXO,1
 OXXOOOX  XOXXXOOXXO X O ,1
OXXOXOXXOXOOOXXXOOOXXOXXO,1
 OXO   X    XO O X OX X  ,1
XOO  OXXXXX O   OOOOOX XX,0
 XOXOOXXOXOXXXOOO XXOO  X,1
OOOXOO XXOX OXOXOXOXXXXXO,1
OXXOO XOXX OX O OXXOOXX O,0
OXOOOXOXXOXXXOOXXXOXXXOOO,1
OOX XOX XXXXOOXOOOXOOXOXX,1
OOOXXOOOXXXOOOXXOOXXXOXXX,1
 XOXOXXOOXOXXOOXO XOXXXOO,1
 O XOO X X X OO XXOX  XO ,1
OXXOOXOX OOOXOOXXOXOXXX X,1
 OX XOOXO XXXXO XOX  OOXO,1
X OXO  X OOOX   X  X X  O,1
OOXOXX  XX OOOXOO XX O XX,1
OXXXXOOOOOXXXOXXOOOXXXOO ,0
 OXOX  X  OOXX  XO  OX OX,1
XXOXXXOXOOXOXOXXOXOOOXOXO,1
XOOOXXXO XO  X OXOXOOXXOX,1
    XXOO XX  OXO OXOXOXOX,1
OXOOXXXOXXXOOOOXXOXXXOOXO,1
XOXOO XXXOOOOOXXXO OXO XX,0
  OX O  XX  OOXX XOXO O X,1
OXOOXXOXOOXOXO OOXX XXO X,0
OOXXXOXOXOOXX XXOOXXXO OO,1
XXXOXOXOOXOXOXXXOOXXOOOXO,1
OOXXXXOXOXXOXXOOOXXOOXOOX,1
XOXXOOOXXOXOXXXXXOOOXXOOO,1
OOXOOX XXX  OOXXXOOXXOOX ,1
OOOXXXXOOXOXOXXXXXOOOOXXO,1
OOOOOXXX OOXXXOXXXOOOXXOX,0
OOXX X XO OXXOX OXOOOXXXO,1
 OOXO OXX OOOXXX X X XO  ,1
XXO O X OOXOXOOXXOXOXO XX,1
OXOOXO XX  OXXXXXOOO XXOO,1
OXX XOOX OXOXXXXOOXX OOOO,0
 X XXXOOXXOXOOO O OXX XOO,0
OXXOXXOXOOXOXXXOOXOOXOXOX,1
XXOOOOXXOXOXOXOXOXOOXOXXX,1
XOOXXXXXXO OOXO XXXOXOOOO,1
OXXXOOXXOXOOXOXOXOOXXOXXO,1
OXOOXXXX XOOXOXXOXXOOOOOX,0
    XOOO X   X   X    XO ,1
OXOOXXXOOOXO XXOOX XX  O ,0
  OXOXOX OXOXXX OXXXOOXOO,1
  X X   OOX  OXXXOOXOO XO,0
OOOXO XOOXOOXXOOXXXOOXXXX,0
XOOXXXXXXOXOOOXO OOOXXXOO,0
 XXO X XXXXOOOOOOO  XXOOX,0
XX O OOO  O OOOXX XX XXOX,0
XXXOOOXXOXOOOXO OXXOXXXOO,0
XXXOXXXXOOOOOOXOXOOX OXXO,0
OXOX OX XOOXO OXOX OXOXXX,1
 XXOX  OOXO  XO XOXXO  OX,1
XOXXOX XOXXO OX X O OOOOX,0
XX OX OXX OXOO XOOOOXXOXX,1
O OOX  XX XOOOOOXOOXXXX X,0
 OXXXX OOXXXOOOOO X  OXOX,0
XXXOOOOXXXOXOOXXXOXOOXOOX,1
OXXOXOOOOXXXXXOXXOXOOXXOO,1
XOOXOO OXOXOOXOOOXXXX XXX,1
XXX OOXX O OXOO  X  XXO O,1
XXOXXOXOOXO XOXXOOXO XOXO,1
OO  OXXOXOOOOOXXXX XX OX ,0
OOOOXOOOXOOXXOXXXXXXXOXXO,1
XXXOXXOXXOOOXOXOXOXO XOO ,1
XOXOXXXOOXOXXXX OOXXOOOOO,0
 XXOO XOOXOOXO  XXOOXOX X,0
XXXOXOOOOXOXOXXOXXOX  OOX,1
XOOXXXOXOOXOXXOXXXOOOOXXO,1
XXXOOOXOXXXOOXXOOOX OOOXX,0
OXOOOOXXOOXX X OXOXXXOX  ,1
 XOXO OOOXXXXOXOOO X OXX ,0
  X XXXX  XOO XOXOOO   OO,0
 OXXOOOO XXOOOOXOXXX XXXO,0
XOX OOXXXXOOOOXXXOOOXXOXO,0
OOOXOXOXOXXXOXXOXXOXOOXXO,1
OXXOXXXXO XXOOXOXXOOOOOXO,0
OOXOOXXOOXXXXOXXXXOOOXOXO,1
OX XOOOXXO OOOXOOXX X  XX,0
OXX XO X  XOXOX XXOXOOOOO,0
 OXXXXO XOOOX  OX  XOXO  ,1
 XOXX OOX O X  O XO   XXO,1
O   X X OXXOO XXXXOOOOOX ,0
OX OOOOOXXOOXXXOXOXXOOXXX,0
XXOOXO XXXXOOX  XOXXOOOOO,0
OO XXXOOXOXOXXOXOOXOXXOOX,0
 XOOOOXXOXOXOXXXO OXXOOXX,1
XOXO  O XOX OOOOOXXXX XOX,0
XXO X OOXO OXOX XXOOXOOXX,1
OXXO   XXXOOXOXOXO   X O ,1
 OX   X OOOXOOXOXXXOX   X,1
OXXOXOOXOXXXXOOOOXXOXOOXX,1
XXOOOXOOXXOOOXOXXXOOOXX X,0
XOXXXOOOOO XXXXOXOOXXOOXO,0
XXOX XOOXOOXXOOX XOXXOOOX,1
 X XO XOO  OXOXOXX O OX  ,0
OOXOXXOXXXXXOXOXXOXOOXOOO,1
XOOXXOXXO OOXXO XXOO OXX ,1
XOOOXOXOXXXOXXOOOXXXXOOOX,1
 OOXX OXOXO  XX  XOOXOXXO,1
XOXOOXOXXXXOOXXOOOXXXOXOO,1
XO  OX OX XXX OOXX  OXOO ,1
XXXXOOOOOOXOXXXOX XOOXOOX,0
O XXXOOXXXOXO X XOOO X  O,1
OXXXOOOOXOXXXOOOOXXOXXOXX,1
OXXXOOOOOXXOX  XXXOOXOOX ,0
O XOXOOXOXXXOXXOXXOOOOOXX,0
XX OXOXOO OXXOXOXXO XOOX ,1
XX  OXXOOOX OO XOX XOOXXO,0
 XXOXXOOOXOXOXOOOOXX XXOX,1
X XO OOX  XOXOOOXXXXOO  X,1
OXOXOOXXXX OOXOOXOOXXOOXX,0
OXOOOOXOO XXXXX XOOXXXO  ,1
OO X O  X    XOOX XX   OX,1
 XOOOOOOX XXXOXOXOXXX XOO,0
 OXXOO XOOOX    XXOX XX O,1
XXX X XXXOOOOOXO X  O OO ,0
OX  XXOO   OOOOOOX XXXX X,0
 O XX XX OOX  OXOX OXOXO ,1
OOXXOXOOXXOOOX OXXOXXX XO,1
XO  OXO OXXXOOOXOXXXOXXOO,0
XOX OX XOO  XX  X  O XOO ,1
OOX O  XO  OXXXXX  XXOO O,1
OOXOOXOXOX XO  XX  OXOX X,1
XOOXX X  XOOXOX OOOOX OXX,0
XXOX XOXO  XX OX OXOXOOO ,1
XO XX XX O  XOOXOOXOO  OX,0
XO  OXXXOXXOO X OXXOO   O,0
OXOOOXXXOXXXXOXOXOOXXOOXO,1
OXXXOOXXOOXOXOOXOOOXXXXXO,1
OOXX  X XXX  OXXOOXOOXOOO,0
OO  O OOOXXOXXO  XXXXXOXO,0
OOOOOXXXXOXXOOOXOXXX OOXX,0
       OOOOO O XX  X  XXX,0
XXOXXX XOOOOXOXOOXOOXOOXX,0
XOXXOO XOXX OXOXO XOOOOXX,0
X XXOOXOXX OXOXOXOXOOXOOX,1
OOOOXXXXXXXOXXOXO XXOOOOO,0
XXOOXOXXXOXXXXOOOXXOOOOXO,1
OOXXOXXXOOXOO  XOXOOXOXXX,1
XXOOOXXOOOXXXOOXOOOXXX X ,1
XXOXOXOOXXOXXOXOXXOXXOOOO,1
XXOX XXXO OXXOOXOOOOXOXXO,1
 O XOXXX OOOOO X  XXX  O ,0
OXXX OOXXO  OOOOOXXXXXXOO,0
  X X O  XXOOX OOXOOOXX X,1
XXXOXXX OXOXOXOOOXOOXXOO ,1
XOX OXX XXOOXOXOOOOOX XOX,0
  XXOX XXXOO X  OXO OXOO ,1
 X OOXOOXOXXO XOOXOOOXXXX,0
XO OOXXO  OX O X    X X  ,1
XXOXXOXOOOOXXXOOXOXXOOXXO,1
O XOXO XXO XOX  XOOX XXOO,1
  XO O  X XXXOOXOOXOOOX X,0
XXO OOXXOXXOXOXOOXXOXOX O,1
XOXXXOXOOXXOOXXOOXOXOXOOX,1
OXO  OOO XX OOOO  XXXX XX,0
OO  OXXXOXXOOOOO XXXXOXOX,0
OOOOXXXXOOOXXXOO XXOXXOXO,0
XXXOOX XX   OXOOOXOO X OX,1
OOXOXOO XXXOXXOXXXXXOOOOO,0
 XXXX    X OOOOO X    OXO,0
XXXOXOOXXOXXOOOXXOOOOXOXX,1
XX OOXOOOX OXOXO O  XXX  ,0
OOO XOXOXXOOXOXXX X OXO X,1
XOOOXX OOXOXXXOOXXOXOOOXX,0
XXOOXOOXOO XOXOOXX  XOXXO,0
OO OXXOXXXOXO OXOXXOXOXXO,1
 XXOO XOXOXXO OXO XOXOXXO,1
OO XXXX XX OXOOOXO  OX XO,1
OOO OXXOOXXXXOOX XXOO XOX,0
X OOOX XXOXXOXO XXOO OXOX,1
 XXXO OOO OXOX  XOOXXXOXO,0
OOOXOOO XXXXX XOXOOXO  XX,1
O X XOX O X    XOO  XXXOO,1
OO XOXXOOXXOOXXOXXXO  XOO,0
O  OXXOX X XO XXXOX OOOXO,1
OXXO XOOXXOXOOXXXOOOXXOXO,0
XX XXXOOOOXOX XOOOX OXOXO,0
OOOXXOXX  XXXOO XOXXOOOOX,0
 XXX OOXXX OOOOOX  OXX O ,0
XXOXOOOXO XOOXOXXO OXX XO,0
XXOXOXOXOXX OOXXO OXO OOX,0
OXX OXOXXXXOOOOXXXXOXOO O,1
X X X OXXXOOOXOOXOXO O X ,1
OXXO OOOXOXXOXOXOXOXXOOXX,0
XXXXXXXOXOOOXOOXOXOOOXOOX,1
OX  X XXOXXO  OOXXOXOOOXO,0
OXXXOOX  OXXXXXOOOXXOOXOO,1
X X    XXX  O OOOOO     X,0
XXO O XOOOXO   XOOXXX OXX,1
XXOOXXXOOXXOOXXOOOXXOXXOO,1
XXOXOOXOXOOXOXXXO OXXXO O,1
OXXXOXXOOXOXOXXXOOOXXOOXO,1
X OXOOOXOXOXXXOOOXOXXXOX ,1
XOXOOXOOXXXXXXXOOXOXOOXOO,1
  XXOOO XOXOOOXXOO   X XX,0
 O XO OX  X XO OX    X   ,1
 OXXXOOX XXO OOOXXOXOOOXX,0
XX XX OXOXO XOOOX OXX  OO,1
 XXX OOOOXXXOOOXXXOXO OXO,0
 OX XOXXOOOXXXOXOXOOOXOXX,1
OOOOXXXOXXOXXXOXXOXXOOXOO,1
XXOXXXOOXOO OXXXOXXOXOOOO,0
X  OXXXOXOXOOOXO XXOOOXOX,0
OOOXXXXOOO XO  XXXX OOO X,0
XXOOOXOXXOXXOOOOXOXXOXXOX,1
O   X OOX XX XOO  X OXXO ,1
XXOOOOXOOXXXOOXOXXOXXXXOO,1
OOXOO OOX   X  X    XX   ,0
XXXOXX OXOXOOX XOXOOOOXOX,1
XX XOX OOOXXOOO XXXO XO  ,1
